Question,Answer
지옥에 빨간 용 뭐에요?,"지옥의 왕, 하수이며 지옥의 왕을 잡으면 네더라이트 장비 확률 드랍하며, 지옥 하수는 드랍 없습니다."
블러드문이 뭐에요?,"시야가 좁아지고 돌을 캐면 좀벌레가 나오며, 강한몬스터와 네더몹이 스폰됩니다. 전리품이 추가로 드롭됩니다."
몬스터가 안나와요,"야생월드에선 몹 스폰이 되고 있으나, 렉 유발로 스폰률이 적은 점 이해 바랍니다. 블러드문 이벤트 때 몬스터를 잡으시는걸 추천드립니다."
야생에 곰 잡으면 뭐 주나요?,"아무도것도 안 줍니다. 다람쥐 부엉이 등 같은 야생 커스텀 동물, 몹 입니다."
지옥에 용 잡으면 뭐 주나요?,"지옥의 왕, 하수이며 지옥의 왕을 잡으면 네더라이트 장비 확률 드랍하며, 지옥 하수는 드랍 없습니다."
스코어보드가 안 떠요,/스코어보드로 없애거나 띄울 수 있습니다.
스코어보드를 없앨 순 없나요?,/스코어보드로 없애거나 띄울 수 있습니다.
쓰레기통 있나요?,"한글 명령어 /쓰레기통 , 단축 명령어 /ㅆ , 영어 명령어 /trashcan"
귓속말 어떻게해요?,"/귓 닉 내용, /msg 닉 내용 으로 귓을 보낼 수 있으며 답장 /r 내용 으로 보낼 수 있습니다."
자꾸 누가 때려요,/옵션에서 pvp활성 비활성을 설정 할 수 있습니다.
랜더 거리가 안 늘어나요,서버에서 설정이 되있는것이라 늘릴 수 없습니다.
시뮬레이션 거리가 안 늘어나요,서버에서 설정이 되있는것이라 늘릴 수 없습니다.
시세표 같은게 있나요?,베어타운의 시세는 상점에 있는것 외에 유저들이 정한 시세이기에 따로 시세표는 없습니다.
거래는 어떻게 하나요?,/거래 닉네임 (멀리 있어도 가능) 으로 할 수 있습니다.
돈은 어떻게 보내요?,/송금 닉네임 금액  또는 /pay 닉네임 금액 으로 보낼 수 있으나 7% 수수료가 나가는 점 알아주세요.
아이템 자랑은 어떻게 하나요?,자랑하고 싶은 아이템을 손에 들고 /showitem 명령어 사용하시면 됩니다.
리소스팩이 무한 로딩 해요,%appdata% - .minecraft - server-resource-packs 들어가서 server-resource-packs 폴더 안에 있는 것들 모두 삭제 후 서버 재접속 해주세요.
셋홈은 어떻게 지정하나요?,셋 홈은 /set home (홈 이름)으로 사용 가능하며 각 서버별로 홈을 저장할 수 있습니다
설정해놓은 셋홈은 어떻게 확인 할 수 있나요?,/homelist 으로 확인 할 수 있습니다.
인첸트 테이블은 어디에 있나요?,스폰 커인 상인쪽에 있지만 스폰에서 사용하시면 스킬렙이 안 오릅니다. 직접 만드셔서 사용하시는걸 추천 드립니다.
"플라이 시간이 있었는데 1,2 마을 오니까 없어요 ",마을1서버와 2서버의 데이터는 공유 되지 않습니다.
무한 용암 만들어도 되나요?,네 만드셔도 됩니다. 그치만 무한 용암 자동 회로는 금지입니다.
엔더상자 명령어는 어떻게 쓰나요?,길라잡이 50단계를 달성 후 /ec로 사용 하실 수 있습니다.
템 안먹게 설정하는건 어떻게 해요?,"/옵션에서 설정하실 수 있으며, vip의 혜택입니다."
지역챗을 기본설정 할 순 없나요?,/옵션에서 설정하실 수 있습니다.
상자공유는 어떻게 하나요?,상자 공유는 /cp trust로 하실수 있습니다.
셋 홈 어떻게해요?,셋 홈은 /set home (홈 이름)으로 사용 가능하며 각 서버별로 홈을 저장할 수 있습니다
셋 홈 하나만 되나요? ,"서버 별로 홈을 하실 수 있으며, /set home 이름 으로 지정하여 여러개의 셋홈을 저장할 수 있습니다."
셋 홈 없애는 명령어가 뭔가요?,셋홈은 /delhome 홈이름 으로 삭제하 실 수 있습니다.
셋 홈 없앨 순 없나요?,셋홈은 /delhome 홈이름 으로 삭제하 실 수 있습니다.
보물상자가 뭔가요?,"랜덤 보물상자는 하루에 24번 야생에서만 출현하며, 꿀방울, 네더라이트 파편, 셜커껍데기 등 소량의 아이템이 들어 있습니다."
보급상자에서 뭐 나와요?,보급상자의 목록은 보급상자 좌클릭을 하면 볼 수 있습니다.
열쇠는 어디서 얻어요?,"열쇠는 길라잡이, 추천, 출석체크, 접속보상 등 여러가지 방법으로 획득할 수 있습니다."
추천하면 뭐가 좋아요?,추천 보상으로 보급상자 열쇠와 /접속보상의 보상을 받을 수 있습니다.
추천했는데 길라잡이 클리어가 안 돼요,추천하셨던 서버로 가서 길라잡이 클리어 여부를 다시 확인하시면 됩니다.
추천보상이 들어오지 않았습니다.,인벤토리를 확인해주세요. 만약 인벤토리가 가득 차있는 상황이라면 추천보상을 받은자리에서 그대로 드랍합니다.
베어타운 처음 해봐요 뭐부터 해야하죠?,"네더의 별 우클릭으로 서버 입장, /튜토리얼 진행 후 /위키 읽어보시고 /길라잡이 진행하시면 됩니다."
일자굴 파도 되나요?,"일자굴을 제재하지는 않으나, 다른 유저들을 위하여 입구를 막아주시길 바랍니다."
엑스레이 써도 되나요?,"엑스레이, 핵, 매크로 등 형평성에 맞지 않는 모든 외부 프로그램 사용을 금지합니다."
금지아이템 있나요?,"레드스톤 비교기, 레드스톤 중계기, 피스톤, 끈끈이 피스톤, 관측기, 호퍼가 실린 광산수레를 이용한 모든 회로는 금지입니다."
야생 어떻게 가나요?,/워프 > 오버월드 클릭하여 야생으로 이동 할 수 있습니다.
나무 캐려면 어디로가요?,/워프 > 오버월드 클릭하여 야생으로 이동 할 수 있습니다.
지옥 어떻게가요?,"길라잡이 20단계를 달성하시고, 직접 지옥문을 만들어서 이동 할 수 있습니다."
엔더는 어떻게 가요?,길라잡이 60단계 이후 엔드 차원문을 찾아 이동 하실 수 있습니다.
아래 하트 번개 물방울 뭐에요?,"하트=체력, 번개모양=피로도, 물방울=마나 입니다."
피로도가 뭐에요?,"야생의 상자를 열때 피로도를 소모하며 열며, 시간이 흐르면 회복됩니다. 빠른 회복은 커피(커스텀 요리) 사용하면 됩니다."
보물상자 왔는데 없어요,"10분 지나면 사라지며, 다른 유저가 이미 먹었을 경우에도 사라집니다. (다른유저가 먹었을 경우 채팅에 공지로 뜹니다.)"
출석체크가 안돼요,스폰에서 /출석체크 1부터가 아닌 오늘 날짜를 클릭해주시면 됩니다.
원소가 뭔가요?,"땅의 원소 길라잡이 45단계 후 마을확장 건축자재로 사용 가능하며, 나머지 원소들은 추가 컨텐츠 업데이트 예정입니다."
지역채팅은 어떻게 하나요?,/지역챗 또는 /lc로 사용 할 수 있으며 /옵션에서 설정이 기본 값 설정이 가능합니다.
마을채팅은 어떻게 하나요?,/마을챗 또는 /tc로 사용 할 수 있으며 /옵션에서 설정이 기본 값 설정이 가능합니다.
전체채팅은 어떻게 하나요?,/전챗 또는 /gc로 사용 할 수 있으며 /옵션에서 설정이 기본 값 설정이 가능합니다.
확성기는 어디서 사요?,상점 > 기타 상점 > 확성기를 구매하여 사용할 수 있습니다.
확성기는 어떻게 쓰죠?,/확성기 할말을 적으셔서 쓰시면 됩니다.
몬스터 및 동물은 언제마다 사라지나요?,몬스터 및 동물은 10분 간격으로 사라집니다.
국가는 뭔가요?,"국가 컨텐츠의 기획안을 생활형 직업, 제작형 직업으로 가는 방향으로 바꿔 나올 예정입니다."
스폰에 유저상점이 뭔가요?,유저상점은 유저가 장소를 대여해 원하는 물건을 사고 팔 수 있는 공간입니다.
곰은 뭔가요?,야생에 있는 커스텀 동물(몹) 입니다.
열쇠는 뭔가요?,/보급상자 명령어를 입력하시면 스폰에 열쇠를 사용할 수 있는 상자들이 있습니다.
차단은 어떻게 하나요?,/ignore 닉네임 의 채팅을 차단합니다. 다시 입력해서 차단을 해제할 수 있습니다.
차단 목록은 어떻게 보나요?,/ignorelist 채팅 차단한 유저 목록을 확인합니다.
테러 당했는데 누가 그랬는지 알 수 있나요?,/co i 로그조사 모드를 활성화 / 비활성화 로 확인할 수 있습니다.
부계정 사용해도 되나요?,"한 명의 유저는 하나의 계정만 이용할 수 있으며, 부계정 사용을 금지합니다."
후원은 어떻게 하나요?,/후원에서  확인 하실 수 있습니다.
수박 줄기를 보호하고싶어요,/옵션에서 줄기를 보호할지 여부를 지정합니다.
호박 줄기를 보호하고싶어요,/옵션에서 줄기를 보호할지 여부를 지정합니다.
거래요청은 어떻게 하나요?,/거래 닉네임  거래요청가능합니다 
유저신고는 어떻게 하나요?,디스코드 베어타운 유저신고 채널에서 문의티켓 생성하시면 됩니다.
가구는 어디서 사나요?,가구는 스폰에서 버스 > 가구 상점에서 판매중입니다.
야생 초기화 언제해요?,"야생서버의 모든 월드는 2주마다 초기화지만, 일정변경으로 인한 정확한 공지가 올라오기 전까지 기다려주시길 바랍니다."
야생에 몹 스폰이 되나요?,"네 모든 야생월드에선 몹 스폰이 되고 있으나, 렉 유발로 스폰률이 적은 점 이해 바랍니다."
야생에 동물이 스폰이 돼요?,"네 모든 야생월드에선 동물이 스폰이 되고 있으나, 렉 유발로 스폰률이 적은 점 이해 바랍니다."
상자 권한 어떻게 주나요?,/허용 닉네임 을 입력하고 물체 우클릭 또는 /cp에서 설정 하실 수 있습니다.
상자 명령어,/cp에서 설정을 할 수 있습니다.
엘레베이터 어떻게 만들어요?,"엘레베이터는 마을월드에서만 가능하며, /위키 > 편의 기능 > 엘레베이터 사진을 참고 해주세요."
문의는 어디다가 하나요?,디스코드 문의 > 문의 티켓을 열어 문의 해주세요. 매너없는 티켓은 예고 없이 닫힐 수 있으며 불이익이 가해 질 수 있습니다.
야간투시를 얻을 방법이 없나요?,야간투시 물약을 제조해서 드시거나 [언커먼등급] 커스텀 인챈트 야간투시경을 사용하시면 됩니다.
서버 플레이 어떻게 하나요?,/위키 를 통해 기본 정보를 쭉 읽어 보신 후에 /길라잡이 를 진행하시면서 서버를 플레이하시면 됩니다.
몹을 어디서 잡나요?,"야생월드에선 몹 스폰이 되고 있으나, 렉 유발로 스폰률이 적은 점 이해 바랍니다. 블러드문 이벤트 때 몬스터를 잡으시는걸 추천드립니다."
채팅 크기를 줄일 수 없나요?,esc > 비디오설정 > gui 크기설정 에서 조절하시면 됩니다.
ui 크기를 조절할 수 없나요?,esc > 비디오설정 > gui 크기설정 에서 조절하시면 됩니다.
코코아콩은 어떻게 재배하나요?,정글나무에 붙여서 재배할 수 있습니다.
"드워프, 큐피트, 토르 도구 중에 뭐가 좋나요?",도구마다 특성 및 옵션이 다르므로 본인의 취향 껏 사용하시면 됩니다.
드워프 도구에 행운을 어떻게 붙이나요?,모루를 이용해서 행운책 또는 행운이 붙은 네더라이트 도구와 합치시면 됩니다.
npc에게서 아이템 교환이 안 돼요,아이템을 손에 들고 /업데이트 한 후 다시 교환 하시면 됩니다.
드워프 곡괭이로 돌을 한 방에 캘 수 있나요?,돌은 성급함 버프 없이도 한 방에 캘 수 있고 심층암 돌은 성급함 3버프를 받으면 한 방에 캘 수 있습니다.
성급함 버프는 어떻게 얻을 수 있나요?,"[전설 등급] 커스텀 인챈트 신의 손, 재빠른 손놀림을 통해서 얻을 수 있습니다."
블레이즈 가루 어디에 쓰나요?,양조기에 사용하시거나 포션재료로 사용하실 수 있습니다.
수선이 붙은 도구를 어떻게 수리하나요?,수선이 붙은 도구를 왼손이나 오른손에 들고 경험치 구슬을 드시면 됩니다.
오버월드의 위치를 어떻게 저장하나요?,/sethome 을 통해 홈 설정을 하거나 /서버이동 명령어를 통해 서버를 이동하면 이전 서버의 위치가 저장됩니다.
야생에서 네더월드를  못 가나요?,길라잡이 20단계를 달성후 지옥문을 직접 만드셔서 갈 수 있습니다.
위키에 작성돼 있지 않은 정보는 어떻게 아나요?,/디스코드 > 질문게시판을 통해서 유저분들에게 질문하시면 됩니다.
마인크래프트 어떤 버젼으로 접속해야 하나요?,마인크래프트 1.19.2 이상 버젼으로 접속하시면 되는데 그 중 마인크래프트 1.19.3 버젼을 가장 추천드립니다.
주민작은 안되나요?,네 주민작은 렉 유발로 서버측에서 막아뒀습니다.
다이아는 어디서 잘 나와요?, y-54에서 캐시는걸 추천 합니다.
셋홈 몇 개까지 가능한가요?,"야생, 마을월드를 합쳐서 2개까지 가능합니다."
모닥불 설치 했는데 불이 안 붙어있어요,라이터로 직접 붙히셔야 합니다.
마나는 어떻게 사용해요?,"도구, 칼 등의 스킬을 사용하실 시 소모 됩니다."
제 템이 사라졌어요,복구 문의는 개인 과실이 아닌경우에 복구가 가능하며 디스코드 복구 문의 티켓을 열어주세요.
겉날개는 어떻게 수리하나요?,베어타운에서는 팬텀이 스폰 되지 않기 때문에 수선을 활용하여 직접 수리하시거나 내구도가 더 많이 남은 겉날개와 합치셔야 합니다.
글씨가 안보여요,esc > 설정 >언어>유니코드 글꼴 사용 꺼짐 하시면됩니다.
큐피트 곡괭이와 드워프 곡괭이에 차이점이 뭔가요,"큐피트는 효율5, 행운5 드워프는 효율7 내구도 무한 입니다. 취향껏 사용 하시면 됩니다."
딥다크도시가 뭐죠?,"고대도시, 워든이 출몰하는 바이옴 입니다."
깊은 어둠 바이옴이 뭐죠?,"고대도시, 워든이 출몰하는 바이옴 입니다."
후원은 언제 처리되나요?,"후원은 24시간 이내로 처리되며, 시그님이 확인한대로 바로 처리가 되니 기다려주세요."
ㅊㅁ가 뭐에요?,채팅미스의 줄임말 입니다.
서버 시드가 다른가요?,야생외에 모든 서버의 시드는 다 다릅니다.
"큐피트,토르는 내구도가 닳나요?",네 큐피트와 토르는 수선을 다시거나 커스텀 인첸트 중 드워프의 기술을 다셔야 내구도가 닳지 않습니다.
아이콘이 깨져요,"먼저 재접속을 권장 드리며, 재접속을 하셔도 안 보이시면 설정 > 언어 > 유니코드 OFF , 그것도 안되시면 1.19.3으로 접속해 주세요."
수선 어디서 얻어요?,/상점 > '기타 상점' 과 유저로부터 구입하시거나 낚시로 낚을 수 있습니다.
몬스터가 안보여요,서버 과부화 때문에 스폰율이 낮습니다. 밤시간대에 조금만 기다리시면몬스터가 스폰됩니다.
동물이 안보여요,청크로딩 때문에 가까이 가셔야지 보입니다.
드워프 도구는 어디서 구하나요?,"드워프, 큐피트, 토르 등 커스텀 도구들은 후원을 통해 구매가 가능하며, 유저와의 거래로도 구매 하실 수 있습니다."
큐피트 도구는 어디서 구하나요?,"드워프, 큐피트, 토르 등 커스텀 도구들은 후원을 통해 구매가 가능하며, 유저와의 거래로도 구매 하실 수 있습니다."
사람이 안보여요,서버에서 시야 거리가 설정이 되있는것이라 늘릴 수 없습니다.
조금만 멀어져도 친구가 안 보여요,서버에서 시야 거리가 설정이 되있는것이라 늘릴 수 없습니다.
몬스터가 때리는데 안 보여요,서버에서 시야 거리가 설정이 되있는것이라 늘릴 수 없습니다.
로얄젤리가 안 팔려요 ,/업데이트 후 팔아보시길 바랍니다.
상점은 어떻게 열죠? ,쉬프트 f > 상점 입니다.
악기가 연주는 어떻게 해요?,"악기는 스폰 > 버스 > 악기 상점에 판매중이며, vip 유저들만 악기 연주가 가능합니다."
물고기가 안 합쳐져요,인벤 창에 물고기를 넣은 후 /fish update 하시면 합쳐집니다. 
마을서버 최대 인원이 몇명이에요?,"마을1(180명), 마을2 (240명), 마을3 (240명), 야생 전체(120명), 스폰(150명), 로비(100명) 입니다."
야생은 몇명까지 들어갈 수 있어요?,"마을1(180명), 마을2 (240명), 마을3 (240명), 야생 전체(120명), 스폰(150명), 로비(100명) 입니다."
스폰은 몇명까지 들어갈 수 있어요?,"마을1(180명), 마을2 (240명), 마을3 (240명), 야생 전체(120명), 스폰(150명), 로비(100명) 입니다."
로비는 몇명까지 들어 갈 수 있어요?,"마을1(180명), 마을2 (240명), 마을3 (240명), 야생 전체(120명), 스폰(150명), 로비(100명) 입니다."
동물은 몇 마리 키울 수 있어요?,10*10 에 15마리의 동물을 키우실 수 있습니다.
동물 수 제한 있나요?,10*10 에 15마리의 제한이 있습니다.
인첸트 제거는 어떻게 해요?,숫돌에 아이템 마법부여 해제하시면 됩니다.
플라이권은 어떻게 써요?,"플라이권은 마을에서만 사용이 가능하며, 길라잡이 15단계 달성 후 사용이 가능합니다."
수선은 어디서 얻나요?,수선은 상점에서 구매 가능합니다. 상점 > 기타상점
레이드 입장이 안돼요,레이드는 스폰에서만 입장이 가능합니다.
tp 어떻게 하죠?,/tpa 닉네임 으로 유저들끼리 이동이 가능합니다.
출석카드는 어떻게 얻죠?,"출석카드는 현재 준비중이며, 출석체크를 하시려면 현실의 오늘 날짜를 눌러주시면 됩니다."
지도 어떻게 보나요?,"지도, 맵은 베어타운에서 제공하지 않으며 개인 모드를 까셔야합니다."
맵 어떻게 해요?,"지도, 맵은 베어타운에서 제공하지 않으며 개인 모드를 까셔야합니다."
어떻게 앉아요?,/앉기 로 앉으 실 수 있습니다.
어떻게 일어나요?,쉬프트를 누르시면 일어나실 수 있습니다.
치장 명령어가 있나요?,/cosmetics 또는 /치장 입니다.
치장 어떻게 입나요?,"/치장, /cosmetics 명령어를 통해 입을 수 있습니다."
치장은 어떻게 얻나요?,"스폰 > 루비 상점에서 영웅 열쇠로 치장품을 뽑을 수 있으며, 중복된 치장은 루비로 지급 됩니다."
펫은 어떻게 얻나요?,스폰 > 펫샾 에서 전설 열쇠로 뽑을 수 있습니다.
레이드는 어떻게 갈 수 있나요?,길라잡이 55단계 달성 후 가실 수 있습니다.
레이드는 혼자만 갈 수 있나요?,"/파티 생성, /파티 초대 닉네임 으로 2인으로 레이드 입장이 가능합니다."
몬스터볼은 어떻게 사용하나요?,다른 엔티티를 포획하거나 몬스터볼에서 꺼내는 데는 포획 허가서가 필요합니다.
포획 허가서는 어떻게 구하나요?,"포획 허가서는 재화로 구매하거나, 각 엔티티를 잡을 때마다 낮은 확률로 획득할 수 있습니다."
일일랭킹이 뭐에요?,"일일 랭킹은 활동량에 따라 일일 포인트를 획득하고, 순위에 따라 꿀로 보상을 받을 수 있어요."
일일랭킹은 어떻게 올려요?,"보물 상자 최초 발견 시, 낚시 대회 참여 등 여러 활동으로 올릴 수 있으니 자세한 내용은 위키를 봐주세요."
시즌랭킹은 뭐에요?,"시즌랭킹은 일일랭킹에서 점수를 획득해 시즌 포인트를 얻고, 시즌이 끝난 후 로얄젤리, 꿀, 칭호 등 특별한 보상을 받을 수 있어요."
대결 시스템 중도 포기는 어떻게 하나요?,대결 시스템의 중도 포기는 존재 하지 않고 대결을 끝내셔야 합니다.
블러드문이 뭔가요?,"몹 스폰률이 평소보다 올라가며 지옥에서 나오는 몬스터, 강력한 몬스터가 출몰합니다. 또한 돌을 캘 때 좀벌레가 나타납니다."
길라잡이를 꼭 깨야하나요?,길라잡이 미션을 클리어 해야만 할 수 있는 서버 컨텐츠가 존재하며 길라잡이 클리어 보상도 좋은 편이니 클리어 하시는게 좋습니다.
길라잡이 36단계 이후로도 마을 청크를 확장하는 미션이 존재하나요?,마을 청크를 확장하는 미션은 더 이상 없지만 마을 자재 점수를 채우는 미션이 존재합니다.
영혼의 원소가루 어디에 사용하나요?,추후 원소 업데이트 후에 사용처가 추가될 예정이니 모으고 계시는 것을 추천드립니다.
일일랭킹 점수는 언제부터 얻을 수 있나요?,길라잡이 40단계 이후부터 얻을 수 있습니다.
일일랭킹 점수는 어떻게 얻나요?,"흙 파기, 돌 캐기 등 /스킬 과 관련된 행동을 하실 때 1%의 확률로 1점씩 얻을 수 있으며 레이드, 낚시대회 참여, 보물상자 발견 등을 통해서도 얻을 수 있습니다."
왜 레이드를 클리어 했는데도 길라잡이 클리어가 안되나요?,레이드에서 막타를 치셔야 클리어 횟수로 인정됩니다.
잠수는 어떻게 하나요?,/서버이동 > 로비서버 > 네더의 별 우클릭 > 잠수전투 로 이동하셔서 잠수하시면 됩니다.
마을월드에서 치장이 안보여요,현재 렉 유발로 스폰서버에서만 치장이 보이게 설정 됐습니다.
원소는 어떻게 얻나요?,"땅의 원소= 발굴, 채광 / 불의 원소= 농사 / 바람 원소= 벌목 / 물 원소= 낚시 / 영혼 원소= 전투 에서 얻을 수 있습니다."
원소는 어디에 쓰나요?,"땅의 원소 길라잡이 45단계 후 마을확장 건축자재로 사용 가능하며, 나머지 원소들은 추가 컨텐츠 업데이트 예정입니다."
길라잡이 47단계는 어떻게 깨죠?,"치장품을 뽑으시면 됩니다. 치장품은 영웅 열쇠로 뽑을 수 있으며, 스폰 > 루비상점에서 뽑으실 수 있습니다."
잠수코인을 베어코인으로 어떻게 교환하죠?,잠수서버에 알레이 잠수메뉴 > 베어코인으로 교환을 누르시면 교환이 가능합니다.
길라잡이하는데 청크점유가 안돼요,이미 땅이 있으시다면 금호미 없이 원하는 청크에 서서 /마을 점유로 땅을 늘리실 수 있습니다.
길라잡이하는데 청크점유를 어떻게 하죠?,이미 땅이 있으시다면 금호미 없이 원하는 청크에 서서 /마을 점유로 땅을 늘리실 수 있습니다.
위더 소환해도 되나요?,"위더 소환이 가능하고, 엔더 드래곤을 부활시키는 것도 가능합니다. (네더의 별은 상점 > 전리품에도 판매되고 있습니다.)"
엔더 드레곤 소환해도 되나요?,"위더 소환이 가능하고, 엔더 드래곤을 부활시키는 것도 가능합니다. (네더의 별은 상점 > 전리품에도 판매되고 있습니다.)"
펫 기간제인가요?,처음 뽑은 펫은 기간제가 아닙니다. 중복된 펫일 경우 루비 1개와 3일 쿠폰이 나옵니다. 
펫 해제 어떻게 해요?,펫 해제는 펫을향해서 쉬프트+우클릭 > 펫 아이콘 누르시면 됩니다.
액티브 스킬을 사용하면 일일퀘스트 (일퀘)의 카운팅이 되나요?/액티브 스킬을 사용하면 주간퀘스트 (주간퀘)의 카운팅이 되나요?,"액티브 스킬(발굴, 벌목 등)로 파괴 시 함께 파괴되는 블록들은 일,주간퀘스트에 카운팅 되지 않습니다. 허나 스킬 경험치는 오릅니다."
엔더 드래곤 어떻게 살려요?,엔드수정을 엔더월드 중앙에 동서남북으로 설치하면 엔더드래곤을 되살릴수있습니다.
잠수 전투가 뭐에요?,로비 서버에서 /afk 하시면 잠수 전투를 시작하실 수 있으시며 잠수 전투로 얻은 화폐는 베어 코인으로 교환하거나 각종 강화가 가능합니다.
동물 어떻게 데려가요?,"포획허가서가 필요하며, 커스텀 동물들은 데려갈 수 없습니다."
몬스터 볼 어떻게 쓰나요?,"포획허가서가 필요하며, 커스텀 동물들은 데려갈 수 없습니다."
디스코드 연동코드가 안 나와요,스폰 서버에서 /디스코드 연동 를 하면 됩니다.
마을 스폰장소 어떻게 바꾸나요?,마을 안에서 /마을 스폰설정 을 통해 변경할 수 있습니다.
비닐하우스 한 개로 여러 개의 작물을 보호할 수 있나요?,비닐하우스 한 개 당 한 개의 커스텀 작물만 보호할 수 있습니다.
수선 책 어디서 사나요?,"/상점 > 기타아이템 상점 , /경매장 , 유저에게서 구매 가능합니다."
어부 레벨이 모자라도 다른 유저에게 미끼를 구매해서 사용이 가능한가요?,"네, 미끼 사용과 어부 레벨은 무관합니다."
물방울 모양은 뭔가요?,/스킬 중에서 액티브 스킬을 사용할 때 필요한 수치인 마나입니다.
위더 마을에서 잡아도 되나요?,야생서버에서 잡는 것을 권장드립니다.
바닐라 음식 말고도 달걀이 쓰이는 곳이 있나요?,커스텀 요리를 할 때 재료로 사용됩니다.
커스텀 요리는 어떻게 하나요?,"/스폰 > 우측 버스정류장 > 가구상점 에서 요리기구(오븐, 믹서기, 반죽기 등)를 구매하면 됩니다."
마을은 어떻게 지우나요?,/마을 삭제 를 입력하면 됩니다.
전투력은 어떻게 올리나요?,"갑옷, 무기의 바닐라 인챈트 갯수, 무기의 공격력, 스탯, 힘버프 등에 영향을 받습니다."
높은 등급의 물뿌리개는 어떻게 얻나요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
커스텀 농작물이 다 자란 상태여도 계절이 지나면 썩나요?,커스텀 농작물이 1단계라도 성장 했다면 계절이 지나도 썩지 않습니다.
길라잡이 16단계 진행도가 -1인데 왜 이러나요?,마을월드에서 다시 시도하시면 됩니다.
야생서버마다 네더월드가 다른가요?,"네, 각 야생서버마다 네더월드가 별개로 존재합니다."
야생서버마다 엔더월드가 다른가요?,"네, 각 야생서버마다 엔더월드가 별개로 존재합니다."
랜덤 텔포 어떻게 하나요?,/wild 를 통해 랜덤텔포가 가능합니다.
마을월드에서 네더포탈을 탈 수 있나요?,"아니오, 마을월드에서 네더포탈 생성은 가능하지만 이용은 불가능합니다."
허수아비는 어디에 설치해야 하나요?,보호하고자 하는 청크 안 아무데나 설치해도 됩니다.
바닐라 경험치는 어디에 사용하나요?,마법부여대에서 인챈트를 하거나 /e 로 커스텀 인챈트 북을 뽑을 수 있습니다.
보물지도를 얻었는데 빈 지도인데 왜 이러나요?,마인크래프트 자체 오류로 빈 지도가 나오기도 합니다.
과성장 농작물은 도구로 캐야하나요?,맨손이나 도구로 블럭을 캐듯이 과성장 농작물을 캐시면 됩니다.
다른사람에게 어떻게 이동하나요?,/tpa 닉네임 를 통해 tp 요청이 가능합니다.
본인의 위치로 다른사람을 어떻게 이동시키나요?,/tpahere 닉네임 를 통해 tp 권유가 가능합니다.
커스텀 작물은 어디에 심나요?,/상점 > 농작물 상점 > 농사 도구 상점에서 화분을 구매 후 화분에 심으면 됩니다.
비닐하우스는 어디에 설치해야 하나요?,"보호할 화분과 같은 x, z 좌표 위에 햇빛을 가린다는 느낌으로 설치하면 됩니다."
야생에 몬스터가 안 나오나요?,서버의 몹 스폰률이 낮은편이기에 밤에 한 장소에 머무르거나 동굴에서 몬스터를 사냥하는 걸 추천드립니다.
광물은 어디서 구매하나요?,광물은 서버 상점에서 구매가 불가능하기에 유저한테 구매해야 합니다.
출석체크 어떻게 하나요?,출석체크는 접속보상으로 합일되었습니다.
광물 상점은 따로 없나요?,"/상점 > 광물, 서버 상점에서는 광물 구매가 불가합니다."
청크 어떻게 보나요?,f3+g 키를 통해서 청크를 볼 수 있습니다.
커스텀 작물 청크 당 몇 개 설치 가능한가요?,한 청크당 64개 까지의 커스텀 작물이 성장할 수 있습니다.
야생 초기화 언제 하나요?,약 2주마다 주기적으로 진행되고 진행 전 /디스코드 > 공지사항에 공지 됩니다.
나무 어디서 캐나요?,/wild 를 통해서 랜덤텔포 하면서 찾으시면 됩니다.
작물이 시들었대요,작물을 키울 수 있는 계절이 아니거나 물을 안 줘서 작물이 시든 상태입니다. 좌클릭으로 부수면 됩니다.
낚시대 어떻게 얻나요?,직접 제작하거나 유저에게 구매하면 됩니다.
길라잡이 1단계 어떻게 깨나요?,"/워프 > 야생월드 를 통해 이동 후, /wild 를 통해 랜덤텔포 하면서 나무를 캐면 됩니다."
옵티파인을 설치하고 횃불을 들었는데도 주변이 어두워요,esc > 비디오설정 > 동적조명 on 하시면 됩니다.
과성장 농작물은 어떻게 얻나요?,비료를 사용하지 않을 경우 커스텀 농작물이 완전히 성장할 때 1% 확률로 과성장 농작물이 나옵니다.
화분에 물은 어느 주기로 줘야 하나요?,화분은 마인크래프트 시간으로 정각(20분 간격)에 마르므로 그 이후에 물을 주시면 됩니다.
채팅창 크기를 줄일 수 있는 방법은 없나요?,esc > 비디오설정 > gui크기설정 에서 조절할 수 있습니다.
비닐하우스 어떻게 설치해요?,보호할 작물과 같은 좌표 위에 햇빛을 가린다는 느낌으로 설치하면 됩니다.
비닐 하우스는 화분 위에만 있으면 되는건가요?,보호할 작물과 같은 좌표 위에 햇빛을 가린다는 느낌으로 설치하면 됩니다.
스프링쿨러 업글 방법 아시는분 있나요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
물뿌리개 강화 같은거 가능한가요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
물뿌리개 업그레이드 어떻게 해요?,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
물뿌리개랑 스프링쿨러 구리 이상으로 좋은 거는 어디서 사나용,/스폰 > 우측 버스정류장 > 하버의 농작물상점의 npc에게 교환할 수 있습니다.
